// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0
// command took 0.66 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/bin/Release/net10.0/" --output "/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0
// command took 4.1 sec and exited with 0
// ***** Done, took 00:00:04 (4.82 sec)   *****
// Found 4 benchmarks:
//   NativeArrayBench.DirectPointer: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeArrayBench.NativeArray_ReadWrite: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeArrayBench.DirectPointer: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   NativeArrayBench.NativeArray_ReadWrite: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]

// **************************
// Benchmark: NativeArrayBench.DirectPointer: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 98e909d4-060d-4aa1-b21b-39f7296492e0.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.NativeArrayBench.DirectPointer(N: 64)" --job ShortRun --benchmarkId 0 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/98e909d4-060d-4aa1-b21b-39f7296492e0/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 148986.00 ns, 148.9860 us/op
WorkloadJitting  1: 1 op, 166586.00 ns, 166.5860 us/op

OverheadJitting  2: 16 op, 127551.00 ns, 7.9719 us/op
WorkloadJitting  2: 16 op, 136854.00 ns, 8.5534 us/op

WorkloadPilot    1: 16 op, 7000.00 ns, 437.5000 ns/op
WorkloadPilot    2: 32 op, 12906.00 ns, 403.3125 ns/op
WorkloadPilot    3: 64 op, 24850.00 ns, 388.2813 ns/op
WorkloadPilot    4: 128 op, 69314.00 ns, 541.5156 ns/op
WorkloadPilot    5: 256 op, 91302.00 ns, 356.6484 ns/op
WorkloadPilot    6: 512 op, 141817.00 ns, 276.9863 ns/op
WorkloadPilot    7: 1024 op, 235273.00 ns, 229.7588 ns/op
WorkloadPilot    8: 2048 op, 422336.00 ns, 206.2188 ns/op
WorkloadPilot    9: 4096 op, 790746.00 ns, 193.0532 ns/op
WorkloadPilot   10: 8192 op, 1535069.00 ns, 187.3864 ns/op
WorkloadPilot   11: 16384 op, 3008459.00 ns, 183.6218 ns/op
WorkloadPilot   12: 32768 op, 6211878.00 ns, 189.5715 ns/op
WorkloadPilot   13: 65536 op, 11707833.00 ns, 178.6474 ns/op
WorkloadPilot   14: 131072 op, 23222138.00 ns, 177.1709 ns/op
WorkloadPilot   15: 262144 op, 46332235.00 ns, 176.7435 ns/op
WorkloadPilot   16: 524288 op, 60355238.00 ns, 115.1185 ns/op
WorkloadPilot   17: 1048576 op, 36283774.00 ns, 34.6029 ns/op
WorkloadPilot   18: 2097152 op, 72243043.00 ns, 34.4482 ns/op
WorkloadPilot   19: 4194304 op, 145066799.00 ns, 34.5866 ns/op
WorkloadPilot   20: 8388608 op, 289143418.00 ns, 34.4686 ns/op
WorkloadPilot   21: 16777216 op, 578965981.00 ns, 34.5091 ns/op

OverheadWarmup   1: 16777216 op, 33407946.00 ns, 1.9913 ns/op
OverheadWarmup   2: 16777216 op, 33367584.00 ns, 1.9889 ns/op
OverheadWarmup   3: 16777216 op, 33350556.00 ns, 1.9878 ns/op
OverheadWarmup   4: 16777216 op, 33365259.00 ns, 1.9887 ns/op
OverheadWarmup   5: 16777216 op, 33355164.00 ns, 1.9881 ns/op
OverheadWarmup   6: 16777216 op, 33353753.00 ns, 1.9880 ns/op
OverheadWarmup   7: 16777216 op, 33359547.00 ns, 1.9884 ns/op
OverheadWarmup   8: 16777216 op, 33388874.00 ns, 1.9901 ns/op
OverheadWarmup   9: 16777216 op, 32637094.00 ns, 1.9453 ns/op

OverheadActual   1: 16777216 op, 21556124.00 ns, 1.2848 ns/op
OverheadActual   2: 16777216 op, 21566797.00 ns, 1.2855 ns/op
OverheadActual   3: 16777216 op, 21568595.00 ns, 1.2856 ns/op
OverheadActual   4: 16777216 op, 21605522.00 ns, 1.2878 ns/op
OverheadActual   5: 16777216 op, 21571936.00 ns, 1.2858 ns/op
OverheadActual   6: 16777216 op, 21555923.00 ns, 1.2848 ns/op
OverheadActual   7: 16777216 op, 21556938.00 ns, 1.2849 ns/op
OverheadActual   8: 16777216 op, 21554781.00 ns, 1.2848 ns/op
OverheadActual   9: 16777216 op, 21555713.00 ns, 1.2848 ns/op
OverheadActual  10: 16777216 op, 21554274.00 ns, 1.2847 ns/op
OverheadActual  11: 16777216 op, 21568778.00 ns, 1.2856 ns/op
OverheadActual  12: 16777216 op, 21565891.00 ns, 1.2854 ns/op
OverheadActual  13: 16777216 op, 21568776.00 ns, 1.2856 ns/op
OverheadActual  14: 16777216 op, 21575936.00 ns, 1.2860 ns/op
OverheadActual  15: 16777216 op, 21552614.00 ns, 1.2846 ns/op

WorkloadWarmup   1: 16777216 op, 579601653.00 ns, 34.5470 ns/op
WorkloadWarmup   2: 16777216 op, 577455001.00 ns, 34.4190 ns/op
WorkloadWarmup   3: 16777216 op, 580657968.00 ns, 34.6099 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 580706056.00 ns, 34.6128 ns/op
WorkloadActual   2: 16777216 op, 576996842.00 ns, 34.3917 ns/op
WorkloadActual   3: 16777216 op, 579943302.00 ns, 34.5673 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 559140165.00 ns, 33.3274 ns/op
WorkloadResult   2: 16777216 op, 555430951.00 ns, 33.1063 ns/op
WorkloadResult   3: 16777216 op, 558377411.00 ns, 33.2819 ns/op
