// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5
// command took 0.6 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" --output "/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5
// command took 3.67 sec and exited with 0
// ***** Done, took 00:00:04 (4.3 sec)   *****
// Found 6 benchmarks:
//   NativeListBench.NativeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeListBench.NativeList_AddThenRemoveAt: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeListBench.NativeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   NativeListBench.NativeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   NativeListBench.NativeList_AddThenRemoveAt: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   NativeListBench.NativeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]

// **************************
// Benchmark: NativeListBench.NativeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f40e05a6-d02a-456c-b720-62898c9bc2b5.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.NativeListBench.NativeList_Add(N: 64)" --job ShortRun --benchmarkId 0 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/f40e05a6-d02a-456c-b720-62898c9bc2b5/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 139028.00 ns, 139.0280 us/op
WorkloadJitting  1: 1 op, 491667.00 ns, 491.6670 us/op

OverheadJitting  2: 16 op, 122552.00 ns, 7.6595 us/op
WorkloadJitting  2: 16 op, 165838.00 ns, 10.3649 us/op

WorkloadPilot    1: 16 op, 31254.00 ns, 1.9534 us/op
WorkloadPilot    2: 32 op, 78246.00 ns, 2.4452 us/op
WorkloadPilot    3: 64 op, 103884.00 ns, 1.6232 us/op
WorkloadPilot    4: 128 op, 186503.00 ns, 1.4571 us/op
WorkloadPilot    5: 256 op, 289517.00 ns, 1.1309 us/op
WorkloadPilot    6: 512 op, 517577.00 ns, 1.0109 us/op
WorkloadPilot    7: 1024 op, 942204.00 ns, 920.1211 ns/op
WorkloadPilot    8: 2048 op, 1967917.00 ns, 960.8970 ns/op
WorkloadPilot    9: 4096 op, 3682200.00 ns, 898.9746 ns/op
WorkloadPilot   10: 8192 op, 7611935.00 ns, 929.1913 ns/op
WorkloadPilot   11: 16384 op, 15041270.00 ns, 918.0463 ns/op
WorkloadPilot   12: 32768 op, 29600732.00 ns, 903.3427 ns/op
WorkloadPilot   13: 65536 op, 58798321.00 ns, 897.1912 ns/op
WorkloadPilot   14: 131072 op, 36495377.00 ns, 278.4376 ns/op
WorkloadPilot   15: 262144 op, 22285619.00 ns, 85.0129 ns/op
WorkloadPilot   16: 524288 op, 44262499.00 ns, 84.4240 ns/op
WorkloadPilot   17: 1048576 op, 88871594.00 ns, 84.7546 ns/op
WorkloadPilot   18: 2097152 op, 177614456.00 ns, 84.6932 ns/op
WorkloadPilot   19: 4194304 op, 354330897.00 ns, 84.4791 ns/op
WorkloadPilot   20: 8388608 op, 708226035.00 ns, 84.4271 ns/op

OverheadWarmup   1: 8388608 op, 16679528.00 ns, 1.9884 ns/op
OverheadWarmup   2: 8388608 op, 16681076.00 ns, 1.9885 ns/op
OverheadWarmup   3: 8388608 op, 16710249.00 ns, 1.9920 ns/op
OverheadWarmup   4: 8388608 op, 16688559.00 ns, 1.9894 ns/op
OverheadWarmup   5: 8388608 op, 16679901.00 ns, 1.9884 ns/op
OverheadWarmup   6: 8388608 op, 16677588.00 ns, 1.9881 ns/op
OverheadWarmup   7: 8388608 op, 16676901.00 ns, 1.9880 ns/op
OverheadWarmup   8: 8388608 op, 16672381.00 ns, 1.9875 ns/op
OverheadWarmup   9: 8388608 op, 16699455.00 ns, 1.9907 ns/op
OverheadWarmup  10: 8388608 op, 16673326.00 ns, 1.9876 ns/op

OverheadActual   1: 8388608 op, 16679655.00 ns, 1.9884 ns/op
OverheadActual   2: 8388608 op, 16681953.00 ns, 1.9886 ns/op
OverheadActual   3: 8388608 op, 16677312.00 ns, 1.9881 ns/op
OverheadActual   4: 8388608 op, 16678281.00 ns, 1.9882 ns/op
OverheadActual   5: 8388608 op, 16713924.00 ns, 1.9925 ns/op
OverheadActual   6: 8388608 op, 16677426.00 ns, 1.9881 ns/op
OverheadActual   7: 8388608 op, 16670186.00 ns, 1.9872 ns/op
OverheadActual   8: 8388608 op, 16676219.00 ns, 1.9880 ns/op
OverheadActual   9: 8388608 op, 16680466.00 ns, 1.9885 ns/op
OverheadActual  10: 8388608 op, 16681341.00 ns, 1.9886 ns/op
OverheadActual  11: 8388608 op, 16721594.00 ns, 1.9934 ns/op
OverheadActual  12: 8388608 op, 16676296.00 ns, 1.9880 ns/op
OverheadActual  13: 8388608 op, 16671938.00 ns, 1.9874 ns/op
OverheadActual  14: 8388608 op, 13190610.00 ns, 1.5724 ns/op
OverheadActual  15: 8388608 op, 10775639.00 ns, 1.2846 ns/op
OverheadActual  16: 8388608 op, 10780760.00 ns, 1.2852 ns/op
OverheadActual  17: 8388608 op, 10775689.00 ns, 1.2846 ns/op
OverheadActual  18: 8388608 op, 10775909.00 ns, 1.2846 ns/op
OverheadActual  19: 8388608 op, 10773288.00 ns, 1.2843 ns/op
OverheadActual  20: 8388608 op, 10782551.00 ns, 1.2854 ns/op

WorkloadWarmup   1: 8388608 op, 706137991.00 ns, 84.1782 ns/op
