// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062
// command took 0.64 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/obj/Release/net10.0/" /p:OutDir="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" /p:OutputPath="/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" --output "/home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0/" in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062
// command took 3.72 sec and exited with 0
// ***** Done, took 00:00:04 (4.39 sec)   *****
// Found 6 benchmarks:
//   UnsafeListBench.UnsafeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   UnsafeListBench.UnsafeList_AddRange: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   UnsafeListBench.UnsafeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
//   UnsafeListBench.UnsafeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   UnsafeListBench.UnsafeList_AddRange: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]
//   UnsafeListBench.UnsafeList_ResizeUninitialized: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=1024]

// **************************
// Benchmark: UnsafeListBench.UnsafeList_Add: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [N=64]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 3a02ec4a-98bc-4747-8cce-cc199ede2062.dll --anonymousPipes 120 121 --benchmarkName "IAFahim.Collections.NoDeps.Bench.UnsafeListBench.UnsafeList_Add(N: 64)" --job ShortRun --benchmarkId 0 in /home/i/GitHub/IAFahim.CS.New/bench/IAFahim.Collections.NoDeps.Bench/bin/Release/net10.0/3a02ec4a-98bc-4747-8cce-cc199ede2062/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.7 (10.0.726.21808), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 142100.00 ns, 142.1000 us/op
WorkloadJitting  1: 1 op, 497371.00 ns, 497.3710 us/op

OverheadJitting  2: 16 op, 133382.00 ns, 8.3364 us/op
WorkloadJitting  2: 16 op, 169369.00 ns, 10.5856 us/op

WorkloadPilot    1: 16 op, 31216.00 ns, 1.9510 us/op
WorkloadPilot    2: 32 op, 78518.00 ns, 2.4537 us/op
WorkloadPilot    3: 64 op, 107265.00 ns, 1.6760 us/op
WorkloadPilot    4: 128 op, 191355.00 ns, 1.4950 us/op
WorkloadPilot    5: 256 op, 305942.00 ns, 1.1951 us/op
WorkloadPilot    6: 512 op, 537875.00 ns, 1.0505 us/op
WorkloadPilot    7: 1024 op, 1007453.00 ns, 983.8408 ns/op
WorkloadPilot    8: 2048 op, 1972914.00 ns, 963.3369 ns/op
WorkloadPilot    9: 4096 op, 3856681.00 ns, 941.5725 ns/op
WorkloadPilot   10: 8192 op, 7931275.00 ns, 968.1732 ns/op
WorkloadPilot   11: 16384 op, 15609837.00 ns, 952.7488 ns/op
WorkloadPilot   12: 32768 op, 30552802.00 ns, 932.3975 ns/op
WorkloadPilot   13: 65536 op, 62429323.00 ns, 952.5959 ns/op
WorkloadPilot   14: 131072 op, 28927580.00 ns, 220.6999 ns/op
WorkloadPilot   15: 262144 op, 22248825.00 ns, 84.8725 ns/op
WorkloadPilot   16: 524288 op, 44900082.00 ns, 85.6401 ns/op
WorkloadPilot   17: 1048576 op, 90451207.00 ns, 86.2610 ns/op
WorkloadPilot   18: 2097152 op, 179115291.00 ns, 85.4088 ns/op
WorkloadPilot   19: 4194304 op, 357630236.00 ns, 85.2657 ns/op
WorkloadPilot   20: 8388608 op, 718193020.00 ns, 85.6153 ns/op

OverheadWarmup   1: 8388608 op, 16684109.00 ns, 1.9889 ns/op
OverheadWarmup   2: 8388608 op, 16686367.00 ns, 1.9892 ns/op
OverheadWarmup   3: 8388608 op, 16684478.00 ns, 1.9889 ns/op
OverheadWarmup   4: 8388608 op, 16700331.00 ns, 1.9908 ns/op
OverheadWarmup   5: 8388608 op, 16681948.00 ns, 1.9886 ns/op

OverheadActual   1: 8388608 op, 16685926.00 ns, 1.9891 ns/op
OverheadActual   2: 8388608 op, 16685168.00 ns, 1.9890 ns/op
OverheadActual   3: 8388608 op, 16691964.00 ns, 1.9898 ns/op
OverheadActual   4: 8388608 op, 16692092.00 ns, 1.9899 ns/op
OverheadActual   5: 8388608 op, 16697629.00 ns, 1.9905 ns/op
OverheadActual   6: 8388608 op, 16683834.00 ns, 1.9889 ns/op
OverheadActual   7: 8388608 op, 16696093.00 ns, 1.9903 ns/op
OverheadActual   8: 8388608 op, 16684125.00 ns, 1.9889 ns/op
OverheadActual   9: 8388608 op, 16685867.00 ns, 1.9891 ns/op
OverheadActual  10: 8388608 op, 16697090.00 ns, 1.9904 ns/op
OverheadActual  11: 8388608 op, 16685188.00 ns, 1.9890 ns/op
OverheadActual  12: 8388608 op, 16695722.00 ns, 1.9903 ns/op
OverheadActual  13: 8388608 op, 13805447.00 ns, 1.6457 ns/op
OverheadActual  14: 8388608 op, 10779307.00 ns, 1.2850 ns/op
OverheadActual  15: 8388608 op, 10778911.00 ns, 1.2849 ns/op
OverheadActual  16: 8388608 op, 10788453.00 ns, 1.2861 ns/op
OverheadActual  17: 8388608 op, 10779984.00 ns, 1.2851 ns/op
OverheadActual  18: 8388608 op, 10784248.00 ns, 1.2856 ns/op
OverheadActual  19: 8388608 op, 10778330.00 ns, 1.2849 ns/op
OverheadActual  20: 8388608 op, 10821423.00 ns, 1.2900 ns/op

WorkloadWarmup   1: 8388608 op, 715125814.00 ns, 85.2496 ns/op
WorkloadWarmup   2: 8388608 op, 715139089.00 ns, 85.2512 ns/op
WorkloadWarmup   3: 8388608 op, 715111592.00 ns, 85.2479 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 715260752.00 ns, 85.2657 ns/op
WorkloadActual   2: 8388608 op, 715416873.00 ns, 85.2843 ns/op
WorkloadActual   3: 8388608 op, 715204089.00 ns, 85.2590 ns/op

// AfterActualRun
